"";"genes"
"Xkr4";"Xkr4"
"Gm1992";"Gm1992"
"Rp1";"Rp1"
"Mrpl15";"Mrpl15"
"Lypla1";"Lypla1"
"Tcea1";"Tcea1"
"Rgs20";"Rgs20"
"Atp6v1h";"Atp6v1h"
"Rb1cc1";"Rb1cc1"
"4732440D04Rik";"4732440D04Rik"
"Alkal1";"Alkal1"
"St18";"St18"
"Pcmtd1";"Pcmtd1"
"Gm26901";"Gm26901"
"Sntg1";"Sntg1"
"Rrs1";"Rrs1"
"Adhfe1";"Adhfe1"
"2610203C22Rik";"2610203C22Rik"
"Vxn";"Vxn"
"Mybl1";"Mybl1"
"Vcpip1";"Vcpip1"
"1700034P13Rik";"1700034P13Rik"
"Sgk3";"Sgk3"
"Mcmdc2";"Mcmdc2"
"Snhg6";"Snhg6"
"Tcf24";"Tcf24"
"Ppp1r42";"Ppp1r42"
"Cops5";"Cops5"
"Cspp1";"Cspp1"
"Arfgef1";"Arfgef1"
"Cpa6";"Cpa6"
"Prex2";"Prex2"
"A830018L16Rik";"A830018L16Rik"
"Sulf1";"Sulf1"
"Slco5a1";"Slco5a1"
"Ncoa2";"Ncoa2"
"Gm29570";"Gm29570"
"Tram1";"Tram1"
"Lactb2";"Lactb2"
"Xkr9";"Xkr9"
"Eya1";"Eya1"
"Kcnb2";"Kcnb2"
"Terf1";"Terf1"
"Sbspon";"Sbspon"
"4930444P10Rik";"4930444P10Rik"
"Rpl7";"Rpl7"
"Rdh10";"Rdh10"
"Gm28095";"Gm28095"
"Stau2";"Stau2"
"Gm7568";"Gm7568"
"Ube2w";"Ube2w"
"Eloc";"Eloc"
"Tmem70";"Tmem70"
"Ly96";"Ly96"
"Gm28376";"Gm28376"
"Jph1";"Jph1"
"Crispld1";"Crispld1"
"Gm28153";"Gm28153"
"Tfap2d";"Tfap2d"
"Pkhd1";"Pkhd1"
"Il17f";"Il17f"
"Mcm3";"Mcm3"
"Paqr8";"Paqr8"
"Efhc1";"Efhc1"
"Tram2";"Tram2"
"Tmem14a";"Tmem14a"
"Gsta3";"Gsta3"
"Kcnq5";"Kcnq5"
"Rims1";"Rims1"
"Gm29506";"Gm29506"
"Gm27028";"Gm27028"
"Gm29107";"Gm29107"
"Ogfrl1";"Ogfrl1"
"B3gat2";"B3gat2"
"Smap1";"Smap1"
"Sdhaf4";"Sdhaf4"
"Fam135a";"Fam135a"
"Lmbrd1";"Lmbrd1"
"Adgrb3";"Adgrb3"
"Phf3";"Phf3"
"Ptp4a1";"Ptp4a1"
"Ptp4a1.1";"Ptp4a1.1"
"4931428L18Rik";"4931428L18Rik"
"Khdrbs2";"Khdrbs2"
"Gm37724";"Gm37724"
"Prim2";"Prim2"
"Rab23";"Rab23"
"Bag2";"Bag2"
"Zfp451";"Zfp451"
"Bend6";"Bend6"
"Dst";"Dst"
"Gm26788";"Gm26788"
"Gm37233";"Gm37233"
"Ccdc115";"Ccdc115"
"Gm28306";"Gm28306"
"Imp4";"Imp4"
"Ptpn18";"Ptpn18"
"Gm28417";"Gm28417"
"4930568A12Rik";"4930568A12Rik"
"Arhgef4";"Arhgef4"
"Gm38336";"Gm38336"
"Fam168b";"Fam168b"
"Plekhb2";"Plekhb2"
"Hs6st1";"Hs6st1"
"Gm37335";"Gm37335"
"Gm33280";"Gm33280"
"Uggt1";"Uggt1"
"Neurl3";"Neurl3"
"Arid5a";"Arid5a"
"4930403P22Rik";"4930403P22Rik"
"Kansl3";"Kansl3"
"Fer1l5";"Fer1l5"
"Lman2l";"Lman2l"
"Cnnm4";"Cnnm4"
"Cnnm3";"Cnnm3"
"Gm38033";"Gm38033"
"Ankrd23";"Ankrd23"
"Ankrd39";"Ankrd39"
"Sema4c";"Sema4c"
"D430040D24Rik";"D430040D24Rik"
"Fam178b";"Fam178b"
"Cox5b";"Cox5b"
"Actr1b";"Actr1b"
"4933424G06Rik";"4933424G06Rik"
"Zap70";"Zap70"
"Tmem131";"Tmem131"
"Gm38115";"Gm38115"
"Vwa3b";"Vwa3b"
"Inpp4a";"Inpp4a"
"4930439A04Rik";"4930439A04Rik"
"Coa5";"Coa5"
"Unc50";"Unc50"
"Mgat4a";"Mgat4a"
"2010300C02Rik";"2010300C02Rik"
"Tsga10";"Tsga10"
"Lipt1";"Lipt1"
"Mitd1";"Mitd1"
"Mrpl30";"Mrpl30"
"Txndc9";"Txndc9"
"Eif5b";"Eif5b"
"Rev1";"Rev1"
"Gm37062";"Gm37062"
"Aff3";"Aff3"
"Gm16150";"Gm16150"
"Chst10";"Chst10"
"Pdcl3";"Pdcl3"
"Npas2";"Npas2"
"Rpl31";"Rpl31"
"Tbc1d8";"Tbc1d8"
"Cnot11";"Cnot11"
"Gm15832";"Gm15832"
"Rnf149";"Rnf149"
"Creg2";"Creg2"
"Rfx8";"Rfx8"
"Map4k4";"Map4k4"
"Il1r2";"Il1r2"
"Gm16894";"Gm16894"
"Il1r1";"Il1r1"
"Il1rl2";"Il1rl2"
"Il1rl1";"Il1rl1"
"Il18r1";"Il18r1"
"Il18rap";"Il18rap"
"Slc9a4";"Slc9a4"
"Slc9a2";"Slc9a2"
"Gm37915";"Gm37915"
"Mfsd9";"Mfsd9"
"Gm29260";"Gm29260"
"Gm28140";"Gm28140"
"Mrps9";"Mrps9"
"Tgfbrap1";"Tgfbrap1"
"8430432A02Rik";"8430432A02Rik"
"AI597479";"AI597479"
"Nck2";"Nck2"
"Gm29155";"Gm29155"
"Uxs1";"Uxs1"
"Tpp2";"Tpp2"
"Mettl21c";"Mettl21c"
"Gm8251";"Gm8251"
"Tex30";"Tex30"
"Poglut2";"Poglut2"
"Bivm";"Bivm"
"Ercc5";"Ercc5"
"Gulp1";"Gulp1"
"Col5a2";"Col5a2"
"Wdr75";"Wdr75"
"Slc40a1";"Slc40a1"
"Dnah7b";"Dnah7b"
"Dnah7c";"Dnah7c"
"Slc39a10";"Slc39a10"
"Gm28151";"Gm28151"
"Tmeff2";"Tmeff2"
"9330175M20Rik";"9330175M20Rik"
"Cavin2";"Cavin2"
"Nabp1";"Nabp1"
"Gm28055";"Gm28055"
"Myo1b";"Myo1b"
"Gm29453";"Gm29453"
"Gm28323";"Gm28323"
"Stat4";"Stat4"
"Gm31812";"Gm31812"
"Stat1";"Stat1"
"Gls";"Gls"
"Nab1";"Nab1"
"Gm553";"Gm553"
"Nemp2";"Nemp2"
"Mfsd6";"Mfsd6"
"Inpp1";"Inpp1"
"Hibch";"Hibch"
"1700019D03Rik";"1700019D03Rik"
"1700019A02Rik";"1700019A02Rik"
"Pms1";"Pms1"
"Ormdl1";"Ormdl1"
"Osgepl1";"Osgepl1"
"Asnsd1";"Asnsd1"
"Dnah7a";"Dnah7a"
"Stk17b";"Stk17b"
"Hecw2";"Hecw2"
"Ccdc150";"Ccdc150"
"Gtf3c3";"Gtf3c3"
"Pgap1";"Pgap1"
"Ankrd44";"Ankrd44"
"4930444A19Rik";"4930444A19Rik"
"Sf3b1";"Sf3b1"
"Coq10b";"Coq10b"
"Hspd1";"Hspd1"
"Hspe1";"Hspe1"
"Mob4";"Mob4"
"Rftn2";"Rftn2"
"Gm10561";"Gm10561"
"Mars2";"Mars2"
"Boll";"Boll"
"Plcl1";"Plcl1"
"Satb2";"Satb2"
"9130024F11Rik";"9130024F11Rik"
"1700066M21Rik";"1700066M21Rik"
"Tyw5";"Tyw5"
"Maip1";"Maip1"
"Spats2l";"Spats2l"
"Kctd18";"Kctd18"
"Sgo2a";"Sgo2a"
"Aox2";"Aox2"
"Bzw1";"Bzw1"
"Clk1";"Clk1"
"Ppil3";"Ppil3"
"Nif3l1";"Nif3l1"
"Orc2";"Orc2"
"Gm15834";"Gm15834"
"Fam126b";"Fam126b"
"Ndufb3";"Ndufb3"
"Flacc1";"Flacc1"
"Cflar";"Cflar"
"Casp8";"Casp8"
"Trak2";"Trak2"
"Stradb";"Stradb"
"Gm29018";"Gm29018"
"Tmem237";"Tmem237"
"G730003C15Rik";"G730003C15Rik"
"Mpp4";"Mpp4"
"Gm29017";"Gm29017"
"Als2";"Als2"
"Cdk15";"Cdk15"
"Fzd7";"Fzd7"
"Gm973";"Gm973"
"Sumo1";"Sumo1"
"Nop58";"Nop58"
"Bmpr2";"Bmpr2"
"Fam117b";"Fam117b"
"Ica1l";"Ica1l"
"Wdr12";"Wdr12"
"Carf";"Carf"
"Nbeal1";"Nbeal1"
"Cyp20a1";"Cyp20a1"
"Abi2";"Abi2"
"Raph1";"Raph1"
"Cd28";"Cd28"
"2310016D23Rik";"2310016D23Rik"
"Ctla4";"Ctla4"
"Icos";"Icos"
