"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sv2b",5.04150727374783e-71,6.01550870774518,0.064,0.003,9.13571533075845e-67
"Prrg3",1.29193970346944e-26,5.16829662138227,0.019,0.001,2.34112393665698e-22
"Ffar4",1.11170761277094e-31,5.15958512554401,0.025,0.001,2.01452536510221e-27
"Cfap161",1.00503953116935e-80,4.73386784419696,0.075,0.004,1.82123213443198e-76
"9330158H04Rik",5.52986539669125e-18,4.51307696755354,0.012,0,1.00206690853442e-13
"Twist2",1.04079772056444e-31,4.43006755987179,0.025,0.001,1.88602954943482e-27
"4930503O07Rik",1.33620253053742e-12,4.39376246752604,0.01,0,2.42133260558685e-08
"Dscam",2.89451753093345e-60,4.35236779102137,0.069,0.005,5.24515521780451e-56
"C230024C17Rik",7.53923412016497e-10,4.30330065389953,0.013,0.001,1.36618461491509e-05
"Lingo1",7.91750629232244e-99,4.21926659199961,0.087,0.004,1.43473131523175e-94
"Gpc1",6.76672960479181e-14,4.20799289429012,0.019,0.002,1.22619907168432e-09
"Gm44993",2.07557360108534e-230,4.19067734895658,0.235,0.014,3.76114692252675e-226
"Plet1",6.7918661579897e-52,4.17717732055717,0.056,0.004,1.23075406648931e-47
"Tnnt3",3.44272090288738e-08,4.17306450570221,0.01,0.001,0.000623855454812221
"Gm44026",0,4.12618077602873,0.272,0.011,0
"S100a8",1.27117484372442e-23,4.11426807713424,0.023,0.001,2.30349593431303e-19
"Gm39458",3.19047889777789e-18,4.07920990259036,0.021,0.002,5.78146681066331e-14
"Kcnk3",8.94843438507128e-158,4.0693257265947,0.118,0.004,1.62154579491877e-153
"Zfp365",1.86223429770003e-18,4.02063055985747,0.019,0.001,3.37455477086223e-14
"Ak8",1.01687625867566e-06,3.99706735065188,0.01,0.001,0.0184268146834616
"Gm20619",3.06633820948322e-73,3.95714809535824,0.073,0.004,5.55651146940455e-69
"Rarb",2.65699353377716e-26,3.95194298163469,0.031,0.002,4.8147379825576e-22
"Sox5os3",2.90538662921804e-12,3.94054082592457,0.015,0.001,5.26485111080601e-08
"Spp1",3.07206260497203e-236,3.90783744787337,0.838,0.25,5.56688464646981e-232
"Pde7b",4.48121791363626e-89,3.89975022463128,0.129,0.012,8.12041498130026e-85
"Gm5535",1.33494032650401e-15,3.89954488094026,0.025,0.003,2.41904536565792e-11
"D030024E09Rik",3.43857165146028e-08,3.86302945451737,0.013,0.002,0.000623103568961118
"Gm36159",1.51348730992238e-09,3.85262328302466,0.012,0.001,2.74259035431035e-05
"Trim72",2.1205450543307e-14,3.82352956728949,0.019,0.002,3.84263969295266e-10
"Abca4",5.39788290726742e-09,3.82114928066698,0.012,0.001,9.7815036162593e-05
"Wipf3",0,3.80985928061656,0.399,0.033,0
"Lrrtm3",0,3.80020918194673,0.603,0.075,0
"Gm12301",3.78132938139578e-07,3.78686262862952,0.01,0.001,0.00685214697202729
"Gm28875",6.67226830095042e-11,3.75272122529864,0.013,0.001,1.20908173881523e-06
"Asb11",2.84380110600852e-201,3.74409386099155,0.231,0.017,5.15325198419804e-197
"Gm6169",1.06334687365367e-11,3.73734286773926,0.015,0.001,1.92689086974781e-07
"Gm37696",1.05154418145518e-06,3.72690805163899,0.015,0.003,0.0190550321121492
"Gm31108",3.49366079654289e-39,3.72289898977141,0.033,0.001,6.33086272941537e-35
"Lpar3",4.11664361885893e-24,3.72137394733971,0.015,0,7.45976990173427e-20
"Chrm2",1.80536894630501e-12,3.7152819579692,0.023,0.003,3.27150906759931e-08
"A230028O05Rik",4.69780070570486e-23,3.71053303245703,0.031,0.003,8.51288465880778e-19
"Pdzrn3",1.52478175807704e-62,3.70660214425754,0.069,0.005,2.76305702381141e-58
"Adamts9",2.88689686046543e-11,3.69596666639891,0.023,0.003,5.23134580084941e-07
"Gm13964",6.15018146679971e-13,3.69011759405089,0.013,0.001,1.11447438359878e-08
"Atp6v0d2",6.75117879929052e-290,3.68950915884668,0.424,0.043,1.22338111021944e-285
"Scml4",2.16151419783164e-65,3.67093262094368,0.077,0.006,3.91687987789071e-61
"Gm15342",6.50570300162935e-07,3.65571137220916,0.012,0.002,0.0117889844092525
"Dleu7",3.03099788891661e-15,3.65487083456787,0.029,0.004,5.49247127450579e-11
"Pla2r1",1.7059486761618e-08,3.64917299793127,0.012,0.001,0.00030913495960728
"Abi3bp",6.12867900874447e-241,3.64772137592918,0.353,0.035,1.11057792317458e-236
