"";"SBR_F49_0021_P22_V11";"SBR_F49_0022_P22_V11";"SBR_F49_0023_P22_V11";"SBR_F49_0024_P22_V11";"SBR_F49_0025_P22_V11";"SBR_F49_0026_P22_V11";"SBR_F49_0027_P22_V11";"SBR_F49_0028_P22_V11";"SBR_F49_0029_P22_V11";"SBR_F49_0030_P22_V11"
"Pcmtd1";617;1111;1043;1145;1078;949;1128;107;1007;971
"Exo1";13;29;18;16;18;24;21;1;23;26
"Uxs1";366;420;430;381;388;344;385;114;403;332
"Dsel";165;235;275;242;222;223;218;75;175;195
"Gmppa";736;829;947;804;768;724;849;131;727;721
"Pld5";18;40;23;26;12;23;26;5;24;28
"Rrs1";377;243;215;227;246;206;239;165;212;214
"Tsn";1194;1095;1200;1037;922;879;1078;330;908;906
"Nifk";312;323;352;271;293;209;311;55;299;241
"Adhfe1";9;13;10;13;5;16;12;2;15;10
"Cep170";1707;3511;3345;3247;3533;2551;3821;334;2911;3045
"Mybl1";25;47;29;43;22;35;36;12;26;53
"Vcpip1";1353;1896;1831;1736;1867;1514;1897;416;1586;1508
"Tpp2";1130;2018;1837;1848;2059;1603;2025;225;1687;1733
"Sdccag8";639;740;589;592;663;469;673;224;527;614
"Niban1";1934;2110;2239;2340;2111;2199;2097;461;2256;2045
"X2810414N06Rik";32;40;30;25;35;21;37;1;29;31
"Akt3";1015;1158;1328;1948;1277;1664;1445;450;1457;1260
"Zbtb18";2877;3850;3456;3135;3476;2465;3564;779;2846;2980
"Tex30";67;60;68;36;79;62;61;31;38;50
"Edem3";1135;1498;1572;1630;1462;1412;1523;366;1421;1298
"X1700025G04Rik";120;138;148;167;95;160;146;24;134;135
"Adss";462;660;586;480;488;498;793;205;528;651
"Tsen15";141;149;158;164;138;108;147;44;127;125
"Epha4";12;58;9;13;10;19;12;1;8;14
"Poglut2";200;221;248;213;239;151;207;41;176;166
"Catspere2";95;89;84;80;135;80;98;123;97;118
"Bivm";183;297;288;307;278;213;263;14;256;212
"Desi2";440;477;540;546;561;531;552;193;467;452
"Cox20";116;122;127;123;139;89;138;45;119;98
"Ercc5";746;912;851;710;702;639;794;348;637;728
"Farsb";566;628;627;670;622;563;599;111;573;585
"Rgl1";1039;1544;1539;1087;1161;1112;1614;281;1185;1370
"Arpc5";1938;2323;2625;2613;2138;2340;2385;868;2107;2121
"Hnrnpu";5370;7880;7539;7628;7330;6254;7292;1682;6725;6686
"Efcab2";39;52;59;65;58;45;50;43;50;50
"Acsl3";83;119;105;116;110;112;140;45;105;105
"Ncf2";5662;6210;7241;6162;5572;5530;6690;1734;5796;5702
"Sgk3";704;1094;1049;1099;1069;952;1274;216;962;995
"Utp14b";120;113;108;99;101;134;121;59;122;177
"Smyd3";573;416;477;491;491;454;512;164;477;580
"Ap1s3";18;16;17;24;19;24;19;0;21;13
"Tfb2m";175;196;208;184;224;141;206;62;148;181
"Cnst";623;590;710;613;550;629;590;160;612;567
"Snhg6";90;119;161;152;137;112;143;19;114;95
"Tcf24";73;75;82;123;72;85;64;26;93;62
"Sccpdh";231;255;328;226;246;175;232;73;206;194
"Smg7";1057;1833;1645;1558;1734;1364;1747;354;1483;1532
"Wdfy1";1212;1564;1538;1611;1549;947;1332;193;711;792
"Mrpl44";208;245;279;221;211;207;210;69;178;175
"Serpine2";16764;16721;17413;20935;14460;19151;16575;5616;17643;15761
"Ahctf1";1100;1243;1306;1273;1329;1104;1325;525;1175;1211
"Cops5";482;611;628;530;622;413;589;148;470;443
