"";"baseMean";"log2FoldChange";"lfcSE";"pvalue";"padj"
"Gpnmb";2450,30208627958;4,01169579712574;0,57064055399785;1,2394795752831e-13;1,56496691175244e-09
"Syne2";421,988352033345;0,89841662716125;0,135862319763543;1,82893110552292e-12;1,15460420691662e-08
"Nr4a1";4641,69456182493;0,635624545421544;0,120420404569494;6,05366530290553e-09;2,54778593714951e-05
"Pcdhga9";252,282009052648;0,716921569388007;0,145155540911346;3,48170235174031e-08;0,000109899934732683
"Gdf15";127,353143007295;0,752172569745091;0,1615314037368;1,3923249614137e-07;0,000351589899256188
"Gm25549";109,10345599357;0,938848187624713;0,203907345166293;1,81849655370454e-07;0,000365735494733987
"Ifrd1";1835,01343679324;0,669866103210359;0,146151098624142;2,0276797585442e-07;0,000365735494733987
"Peg13";1040,63655832214;0,337847786146097;0,0829064754944232;1,99658089145748e-06;0,00315110379194276
"Lrmda";296,264101838358;0,973923556441109;0,253334349919541;4,9463564684833e-06;0,00625746360414168
"Plekho2";2552,6828341932;0,382067635429293;0,0992488861229093;4,95601425957681e-06;0,00625746360414168
"A930011G23Rik";1882,03789818252;0,496647574330456;0,130295791129024;5,64762412545838e-06;0,00648244565527614
"Kmt2c";5116,26920850459;0,368161619168603;0,101367936905425;1,13935589232421e-05;0,0119879229137379
"Pcdhgb5";321,714838405732;0,51182763134775;0,147211514781732;1,95879431977641e-05;0,0190244131396131
"Cxcl10";380,560317145192;0,753856169558336;0,220042047993767;2,36248848595784e-05;0,0213062711597884
"Nr4a3";340,997424177476;0,878036718007166;0,263987577590936;3,34923252457165e-05;0,0277267356986611
"Nfkbia";6713,42669940342;0,485015268244057;0,146282493177085;3,51360503071898e-05;0,0277267356986611
"Nfkbid";3136,20426425048;0,428320649530753;0,13085897328948;4,07099178418033e-05;0,0279594871302163
"Camk2b";332,425939612911;-0,0210161265933804;0,0429014081028064;4,20743113792262e-05;0,0279594871302163
"Pcdhga10";200,783460029059;0,503914808404746;0,153599211171521;3,84883220295181e-05;0,0279594871302163
"Kcnj12";160,081341284095;-1,02734179678083;0,325852743034662;5,05012475700058e-05;0,0318814375909447
"Wdfy1";1233,57011691339;-0,490517428510036;0,159964893577893;7,19141532486852e-05;0,039477743431213
"Tmem8b";205,787401639788;-0,440561857694103;0,142701344973636;6,760623978221e-05;0,039477743431213
"Mycbp2";6673,49983683134;0,308467778595933;0,0986719093953146;7,00084627729264e-05;0,039477743431213
"Dusp2";315,076675253269;0,576894667033873;0,191426493474425;9,19536275012227e-05;0,0414645178868013
"Akap9";2185,95796174032;0,277278899111066;0,0903616454365492;8,43809036427878e-05;0,0414645178868013
"Card11";432,26807698048;0,36850796990506;0,120795764397211;8,40168477994267e-05;0,0414645178868013
"Gadd45b";988,191305416901;0,694506278539038;0,23022026991864;9,12849001011381e-05;0,0414645178868013
"Csrnp1";872,66026015202;0,394821374677505;0,130306780562625;8,77185586725532e-05;0,0414645178868013
"Plcd3";20,1835242462805;-2,0276753363576;0,689276813892093;9,94213425684796e-05;0,0432859955610215
"Ttr";262,171098738649;-0,011943875142973;0,0348388988173143;0,000111253301647736;0,0468228062201437
"Dock8";10114,1105197613;0,156161467488906;0,052725006715098;0,000154815634806412;0,0630549098408311
"Rcn1";203,724547225236;-0,379667956381247;0,136667971050576;0,000178860119871226;0,0705714960466906
"Gm25939";152,950813442378;-0,674982214411382;0,247533360167613;0,000190534718753327;0,072899738150894
"Racgap1";126,516983421347;0,534121370200067;0,196508181333053;0,000217466506420924;0,0807568267667819
"Dynlt1b";74,0854297796734;-0,606438451607849;0,227588490009507;0,000239666996645294;0,086458157132671
"Mrc1";2180,39487441597;0,49392592899691;0,189075955772937;0,000295094179940908;0,089536153954181
"Tmem243";664,602671805046;0,224825705746397;0,0851246564418522;0,000311554410437694;0,089536153954181
"Med13l";3283,16695020249;0,194008142993758;0,0707909455167948;0,000266119891378407;0,089536153954181
"Cacng8";32,7975320593242;-0,910174921627356;0,353740823207724;0,000305515691154556;0,089536153954181
"Tnfaip3";9187,91579102308;0,474184692796175;0,182851434884713;0,000312022079358781;0,089536153954181
"Psd3";223,929161367317;0,478807245780757;0,181511465434543;0,000273210722465538;0,089536153954181
"Gm5086";1178,98398447812;0,261881855388324;0,0994260083288883;0,000303768456103432;0,089536153954181
"Nfkbiz";7473,68341513339;0,461768069020355;0,177195617531312;0,000304007433054129;0,089536153954181
"Zfta";479,728246000458;-0,383270479311553;0,148998661853584;0,000301268165660561;0,089536153954181
"F13a1";1084,07844286885;0,441607300176657;0,17158633932801;0,000329246712268012;0,0923793108687982
"Huwe1";7671,03140671349;0,273699115200528;0,105129057842752;0,000354719217772103;0,0973627139910995
"Klhdc8b";875,996281824587;-0,415846739213076;0,166733890607401;0,000369561352120946;0,0992783325931715
"Ep400";3547,63986847831;0,241918100177797;0,0953480317892492;0,00041096367631606;0,108100570357637
"Gm15708";107,966436574055;0,535993601534421;0,217677807195094;0,000423184918292762;0,10904352608907
"Kmt2a";3612,30676636593;0,211076841969994;0,0861368683399193;0,000529093046430706;0,128723273318797
"Golgb1";1669,82436062672;0,269612391538858;0,111738061172587;0,000530144955851214;0,128723273318797
"Notch4";581,472755288642;-0,0164887343585461;0,0380088239690492;0,000524694998888789;0,128723273318797
"Kcnq1ot1";2695,19058068936;0,429674381365475;0,180473279860821;0,000542545728900588;0,129248724020732
"Fryl";2307,89185775734;0,245204341647835;0,101513357344253;0,000554481078408624;0,129645890666431
"Cdk5rap1";226,267205508708;-0,44919701697988;0,194139203265646;0,000571412596652933;0,131175553551635
"Pfkfb3";12283,1875512182;0,233448329369089;0,0972924603416851;0,000612081909279695;0,136631663045543
"Rbpj";2166,99569120807;0,212605812964002;0,0892026479969529;0,00061682280956724;0,136631663045543
"AU020206";6065,91420304398;0,297934451289337;0,128222785703919;0,000639923980607021;0,139304830674901
"Plpp7";126,017360159062;-0,448666479460557;0,203356073020436;0,000737573206272324;0,150203214554748
